product_id;sku;titulo;categorias;categoria_proveedor;nivel;motivo;campos_cambiados;tipo_semantico_antes;rol_antes;aplicacion_antes;plataforma_antes;subtipo_antes;etiquetas_antes;tipo_semantico_despues;rol_despues;aplicacion_despues;plataforma_despues;subtipo_despues;etiquetas_despues
139400;4260627422975;Filtro antimicrobiano Arebos 6x para piscina spa hidromasaje;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Accesorios para piscinas;CORREGIR;"Es un pack de cartuchos filtrantes de reposición para spa; el TIPO consumible es más correcto.";tipo_semantico, rol;Filtro de piscina;equipamiento;Piscinas y spa;;;Piscinas y spa;Cartucho de filtro de agua;consumible;Piscinas y spa;;;Piscinas y spa
139538;4260199756560;Taburete de ducha Taburete de baño regulable en altura;Sillones elevadores y ayudas de movilidad;Casa y Vivienda > Accesorios para el hogar > Taburete de baño;CORREGIR;"Son ayudas de baño/movilidad; Construcción y reforma no es la aplicación adecuada.";aplicacion, etiquetas;Taburete/silla de ducha;equipamiento;Construcción y reforma;;;Construcción y reforma;Taburete/silla de ducha;equipamiento;Movilidad accesible y rampas;;;Movilidad accesible y rampas
139541;4260199756553;Silla de baño Taburete de baño con respaldo;Sillones elevadores y ayudas de movilidad;Casa y Vivienda > Accesorios para el hogar > Taburete de baño;CORREGIR;"Son ayudas de baño/movilidad; Construcción y reforma no es la aplicación adecuada.";aplicacion, etiquetas;Taburete/silla de ducha;equipamiento;Construcción y reforma;;;Construcción y reforma;Taburete/silla de ducha;equipamiento;Movilidad accesible y rampas;;;Movilidad accesible y rampas
139542;4252023128926;Juego de 2 paneles acústicos - Roble;Paneles acústicos para paredes;Casa y Vivienda;COMPLETAR;El uso acústico está explícito en el producto y existe una aplicación controlada específica.;aplicacion, etiquetas;Panel acústico decorativo;equipamiento;;;;;Panel acústico decorativo;equipamiento;Acondicionamiento acústico;;;Acondicionamiento acústico
139543;4252023128933;Juego de 2 paneles acústicos - Nogal;Paneles acústicos para paredes;Casa y Vivienda;COMPLETAR;El uso acústico está explícito en el producto y existe una aplicación controlada específica.;aplicacion, etiquetas;Panel acústico decorativo;equipamiento;;;;;Panel acústico decorativo;equipamiento;Acondicionamiento acústico;;;Acondicionamiento acústico
139544;4252023128940;Juego de 4 paneles acústicos - Roble;Paneles acústicos para paredes;Casa y Vivienda;COMPLETAR;El uso acústico está explícito en el producto y existe una aplicación controlada específica.;aplicacion, etiquetas;Panel acústico decorativo;equipamiento;;;;;Panel acústico decorativo;equipamiento;Acondicionamiento acústico;;;Acondicionamiento acústico
139545;4252023128957;Juego de 4 paneles acústicos - Nogal;Paneles acústicos para paredes;Casa y Vivienda;COMPLETAR;El uso acústico está explícito en el producto y existe una aplicación controlada específica.;aplicacion, etiquetas;Panel acústico decorativo;equipamiento;;;;;Panel acústico decorativo;equipamiento;Acondicionamiento acústico;;;Acondicionamiento acústico
139577;4260199758168;Puente motor 500kg;Soportes de Motor;Coche y moto > Accesorios para coches y motos > Soporte de motor;COMPLETAR;Puente/soporte de motor para taller: aplicación clara de elevación/manipulación de vehículos.;aplicacion, etiquetas;Soporte/elevador de motor para taller;accesorio;;;;;Soporte/elevador de motor para taller;accesorio;Elevación y manipulación de vehículos;;;Elevación y manipulación de vehículos
139660;4252023108225;Chaqueta de invierno con batería 10000 mAh - S;Ropa técnica calefactable;Casa y Vivienda > Técnica doméstica > Calentadores;CORREGIR;"La chaqueta calefactable es de uso general (senderismo, deporte, trabajo); Motocicleta es demasiado específico.";aplicacion, etiquetas;Chaqueta calefactable;equipamiento;Motocicleta;;;Motocicleta;Chaqueta calefactable;equipamiento;Calefacción;;;Calefacción
139668;9999977239745;Rollator de aluminio - plegable incl. bolsa de compras;Sillones elevadores y ayudas de movilidad;Casa y Vivienda;COMPLETAR;"El rollator es una ayuda de movilidad; existe una aplicación controlada específica.";aplicacion, etiquetas;Andador rollator;equipamiento;;;;;Andador rollator;equipamiento;Movilidad accesible y rampas;;;Movilidad accesible y rampas
139746;4260627422760;Piscine Spa Florence cuadrado 2400W;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Piscinas del spa;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso. Es un spa completo, no un accesorio o concepto genérico.";tipo_semantico, aplicacion, etiquetas;Spa/jacuzzi;equipamiento;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Spa/piscina de hidromasaje;equipamiento;Piscinas y spa;;;Piscinas y spa
